sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	salmonella_date	accession	full_name
kolf_B	16823_4#26	2306172	3226STDY6115661	2015-03-31	2015-05-13	SAMEA103885191	HPSI0114i-kolf_3 derived macrophage day 43 with IFNg
kolf_C	16823_4#27	2306173	3226STDY6115662	2015-03-31	2015-05-13	SAMEA103885258	HPSI0114i-kolf_3 derived macrophage day 43 with salmonella
kolf_D	16823_4#28	2306174	3226STDY6115663	2015-03-31	2015-05-13	SAMEA103885066	HPSI0114i-kolf_3 derived macrophage day 43 with salmonella and IFNg
veqz_A	16823_4#29	2306175	3226STDY6115664	2015-04-02	2015-05-06	SAMEA103885067	HPSI0513i-veqz_6 derived macrophage day 34 untreated
veqz_B	16823_4#30	2306176	3226STDY6115665	2015-04-02	2015-05-06	SAMEA103884978	HPSI0513i-veqz_6 derived macrophage day 34 with IFNg
veqz_C	16823_4#31	2306177	3226STDY6115666	2015-04-02	2015-05-06	SAMEA103884912	HPSI0513i-veqz_6 derived macrophage day 34 with salmonella
veqz_D	16823_4#32	2306178	3226STDY6115667	2015-04-02	2015-05-06	SAMEA103885387	HPSI0513i-veqz_6 derived macrophage day 34 with salmonella and IFNg
joxm_A	16834_4#33	2306179	3226STDY6115668	2015-03-26	2015-05-06	SAMEA103885397	HPSI0114i-joxm_1 derived macrophage day 41 untreated
joxm_B	16823_4#34	2306180	3226STDY6115669	2015-03-26	2015-05-06	SAMEA103885072	HPSI0114i-joxm_1 derived macrophage day 41 with IFNg
joxm_C	16823_4#35	2306181	3226STDY6115670	2015-03-26	2015-05-06	SAMEA103885108	HPSI0114i-joxm_1 derived macrophage day 41 with salmonella
joxm_D	16823_4#36	2306182	3226STDY6115671	2015-03-26	2015-05-06	SAMEA103885109	HPSI0114i-joxm_1 derived macrophage day 41 with salmonella and IFNg
bubh_A	16823_4#37	2306183	3226STDY6115672	2015-02-23	2015-04-01	SAMEA103885384	HPSI0314i-bubh_1 derived macrophage day 37 untreated
bubh_B	16823_4#38	2306184	3226STDY6115673	2015-02-23	2015-04-01	SAMEA103885135	HPSI0314i-bubh_1 derived macrophage day 37 with IFNg
bubh_C	16823_4#39	2306185	3226STDY6115674	2015-02-23	2015-04-01	SAMEA103885298	HPSI0314i-bubh_1 derived macrophage day 37 with salmonella
bubh_D	16823_4#40	2306186	3226STDY6115675	2015-02-23	2015-04-01	SAMEA103885243	HPSI0314i-bubh_1 derived macrophage day 37 with salmonella and IFNg
iisa_A	16823_4#41	2306187	3226STDY6115676	2015-03-26	2015-05-06	SAMEA103885195	HPSI0114i-iisa_3 derived macrophage day 41 untreated
iisa_B	16823_4#42	2306188	3226STDY6115677	2015-03-26	2015-05-06	SAMEA103885314	HPSI0114i-iisa_3 derived macrophage day 41 with IFNg
iisa_C	16823_4#43	2306189	3226STDY6115678	2015-03-26	2015-05-06	SAMEA103885199	HPSI0114i-iisa_3 derived macrophage day 41 with salmonella
iisa_D	16823_4#44	2306190	3226STDY6115679	2015-03-26	2015-05-06	SAMEA103885152	HPSI0114i-iisa_3 derived macrophage day 41 with salmonella and IFNg
ruyv_A	16823_4#45	2306191	3226STDY6115680	2015-03-02	2015-04-14	SAMEA103885231	HPSI0713i-ruyv_1 derived macrophage day 43 untreated
ruyv_B	16823_4#46	2306192	3226STDY6115681	2015-03-02	2015-04-14	SAMEA103885121	HPSI0713i-ruyv_1 derived macrophage day 43 with IFNg
ruyv_C	16823_4#47	2306193	3226STDY6115682	2015-03-02	2015-04-14	SAMEA103884936	HPSI0713i-ruyv_1 derived macrophage day 43 with salmonella
ruyv_D	16823_4#48	2306194	3226STDY6115683	2015-03-02	2015-04-14	SAMEA103885027	HPSI0713i-ruyv_1 derived macrophage day 43 with salmonella and IFNg
podx_A	17982_2#1	2406724	3226STDY6202432	2015-06-26	2015-07-22	SAMEA103885111	HPSI1113i-podx_1 derived macrophage day 26 untreated
podx_B	17982_2#2	2406725	3226STDY6202433	2015-06-26	2015-07-22	SAMEA103884919	HPSI1113i-podx_1 derived macrophage day 26 with IFNg
podx_C	17982_2#3	2406726	3226STDY6202434	2015-06-26	2015-07-22	SAMEA103885276	HPSI1113i-podx_1 derived macrophage day 26 with salmonella
podx_D	17982_2#4	2406727	3226STDY6202435	2015-06-26	2015-07-22	SAMEA103885021	HPSI1113i-podx_1 derived macrophage day 26 with salmonella and IFNg
eipl_A	18017_4#5	2406728	3226STDY6202436	2015-06-30	2015-08-04	SAMEA103885293	HPSI0114i-eipl_1 derived macrophage day 35 untreated
eipl_B	17982_2#6	2406729	3226STDY6202437	2015-06-30	2015-08-04	SAMEA103885339	HPSI0114i-eipl_1 derived macrophage day 35 with IFNg
eipl_C	17982_2#7	2406730	3226STDY6202438	2015-06-30	2015-08-04	SAMEA103885189	HPSI0114i-eipl_1 derived macrophage day 35 with salmonella
eipl_D	17982_2#8	2406731	3226STDY6202439	2015-06-30	2015-08-04	SAMEA103885207	HPSI0114i-eipl_1 derived macrophage day 35 with salmonella and IFNg
heja_A	17982_2#9	2406732	3226STDY6202440	2015-06-29	2015-08-12	SAMEA103884892	HPSI0214i-heja_1 derived macrophage day 44 untreated
heja_B	17982_2#10	2406733	3226STDY6202441	2015-06-29	2015-08-12	SAMEA103885280	HPSI0214i-heja_1 derived macrophage day 44 with IFNg
heja_C	17982_2#11	2406734	3226STDY6202442	2015-06-29	2015-08-12	SAMEA103885352	HPSI0214i-heja_1 derived macrophage day 44 with salmonella
heja_D	17982_2#12	2406735	3226STDY6202443	2015-06-29	2015-08-12	SAMEA103885179	HPSI0214i-heja_1 derived macrophage day 44 with salmonella and IFNg
hiaf_A	17982_2#13	2406736	3226STDY6202444	2015-06-18	2015-07-22	SAMEA103885081	HPSI1013i-hiaf_2 derived macrophage day 34 untreated
hiaf_B	17982_2#14	2406737	3226STDY6202445	2015-06-18	2015-07-22	SAMEA103885388	HPSI1013i-hiaf_2 derived macrophage day 34 with IFNg
hiaf_C	17982_2#15	2406738	3226STDY6202446	2015-06-18	2015-07-22	SAMEA103885016	HPSI1013i-hiaf_2 derived macrophage day 34 with salmonella
hiaf_D	17982_2#16	2406739	3226STDY6202447	2015-06-18	2015-07-22	SAMEA103885275	HPSI1013i-hiaf_2 derived macrophage day 34 with salmonella and IFNg
febc_C	17982_2#17	2406740	3226STDY6202448	2015-07-06	2015-08-04	SAMEA103885394	HPSI0613i-febc_2 derived macrophage day 29 with salmonella
